id	output
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156600499"	"28350142|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156665591"	"32907419|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158704368"	"34476239|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156670537"	"32920099|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156626583"	"29316734|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156668320"	"33027778|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156664494"	"32930125|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158701614"	"34599965|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156670009"	"32993359|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156665055"	"33088947|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156671063"	"32950437|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:"	"6299368|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156672131"	"33009126|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158705549"	"34460641|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156671591"	"32870622|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158719539"	"34720069|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156624945"	"29144431|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158717303"	"34439323|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156675967"	"32372649|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156668908"	"32967760|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158703248"	"34489039|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156672652"	"32962298|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158704981"	"34475568|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156667227"	"33041343|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158718424"	"34385645|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158718986"	"34457239|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:136547670"	"20434867|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158717863"	"34378806|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:158703802"	"34435766|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156673174"	"32872607|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156673722"	"32818673|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:156718390"	"34337319|-8"
"1329:0x2880aB155794e7179c9eE2e38200202908C17B43:0x53614f1cb0c031d4af66c04cb9c756234adad0e1cee85303795091499a4084eb:136536725"	"20373471|-8"
