id	output
"1:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"	6
"1:0x6b175474e89094c44da98b954eedeac495271d0f"	18
"1:0xdac17f958d2ee523a2206206994597c13d831ec7"	6
"1:0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9"	18
"1:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"	18
"1:0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"	8
"1:0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0"	18
"1:0x0000000000000000000000000000000000000000"	18
"1:0x514910771af9ca656af840dff83e8264ecf986ca"	18
"1:0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9"	18
"1:0x514910771AF9Ca656af840dff83E8264EcF986CA"	18
"1:0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"	8
"1:0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"	18
"1:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"	6
"1:0xdAC17F958D2ee523a2206206994597C13D831ec7"	6
"1:0x6B175474E89094C44Da98b954EedeAC495271d0F"	18
"1:0x6B3595068778DD592e39A122f4f5a5cF09C90fE2"	18
"1:0xD533a949740bb3306d119CC777fa900bA034cd52"	18
"1:0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72"	18
"1:0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984"	18
"1:0xae7ab96520de3a18e5e111b5eaab095312d7fe84"	18
"1:0xD31a59c85aE9D8edEFeC411D448f90841571b89c"	9
"137:0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174"	6
"137:0xD6DF932A45C0f255f85145f286eA0b292B21C90B"	18
"137:0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619"	18
"137:0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063"	18
"137:0xdAb529f40E671A1D4bF91361c21bf9f0C9712ab7"	18
"137:0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6"	8
"137:0x4318CB63A2b8edf2De971E2F17F77097e499459D"	6
"137:0xA649325Aa7C5093d12D6F98EB4378deAe68CE23F"	18
"137:0x7DfF46370e9eA5f0Bad3C4E29711aD50062EA7A4"	18
"137:0x25af2A7B5928D3799E68dA29423Ef1fF1257f2Bb"	18
"137:0x576Cf361711cd940CD9C397BB98C4C896cBd38De"	6
"137:0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39"	18
"137:0xb33EaAd8d922B1083446DC23f610c2567fB5180f"	18
"137:0x750e4C4984a9e0f12978eA6742Bc1c5D248f40ed"	18
"1:0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f"	18
"1:0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"	18
"1:0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"	18
"1:0xb50721bcf8d664c30412cfbc6cf7a15145234ad1"	18
"137:0x5c4b7CCBF908E64F32e12c6650ec0C96d717f03F"	18
