id	output
"1:0x0B498ff89709d3838a063f1dFA463091F9801c2b"	"BTC2x-FLI"
"1:0x9AB7bb7FdC60f4357ECFef43986818A2A3569c62"	"GOG"
"1:0x1321f1f1aa541A56C31682c57b80ECfCCd9bB288"	"ARCX"
"1:0xCf01a5c02c9b9DD5bF73a5a56BcDbc9dca483D43"	"TRUMP"
"1:0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee"	"Neiro"
"1:0xf41A7B7C79840775F70A085C1fC5A762bBc6B180"	"MADA"
"1:0x60bE1e1fE41c1370ADaF5d8e66f07Cf1C2Df2268"	"PERC"
"1:0xf211B655431c10E72C1CAeae37688Ae9f7F7A549"	"MAGA"
"1:0x68BbEd6A47194EFf1CF514B50Ea91895597fc91E"	"ANDY"
"1:0x2fd04FD9210dc6aF22F3203088F4967579AE36C7"	"Matr1X"
"1:0x28561B8A2360F463011c16b6Cc0B0cbEF8dbBcad"	"MOODENG"
"1:0x18084fbA666a33d37592fA2633fD49a74DD93a88"	"tBTC"
"1:0xf8C3527CC04340b208C854E985240c02F7B7793f"	"FRONT"
"1:0x1a3A8Cf347b2bF5890D3D6A1B981c4f4432C8661"	"FAC"
"1:0x339058Ca41e17b55B6dd295373C5d3cBe8000Cd9"	"NEIRO"
"1:0xdAC17F958D2ee523a2206206994597C13D831ec7"	"USDT"
"1:0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B"	"TRIBE"
"1:0x05f226755b11cB3666340551EbBAa615CDFEFdD6"	"MEME"
"1:0xdf235d721C21F3A609520a431185b813a1737564"	"NEIRO"
"1:0x11A001DC777f5bf8A5d63f246664d3Bb67Be496C"	"OGGIE"
"1:0xf091867EC603A6628eD83D274E835539D82e9cc8"	"ZETA"
"1:0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB"	"ALT"
"1:0xec53bF9167f50cDEB3Ae105f56099aaaB9061F83"	"EIGEN"
"1:0xD979c468a68062e7bdff4Ba6DF7842DfD3492E0f"	"BBL"
"1:0x634769EB87542EAf41C0008c05D5d8F5d8bEc3A5"	"BOME"
"1:0xa00453052A36D43A99Ac1ca145DFe4A952cA33B8"	"CATE"
"1:0xfF836A5821E69066c87E268bC51b849FaB94240C"	"шайлушай"
"1:0x590F820444fA3638e022776752c5eEF34E2F89A6"	"ALPH"
"1:0x44971ABF0251958492FeE97dA3e5C5adA88B9185"	"basedAI"
"1:0x6aA56e1D98b3805921C170EB4B3fe7D4Fda6D89b"	"TRUMP"
"1:0x1121AcC14c63f3C872BFcA497d10926A6098AAc5"	"DOGE"
"1:0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9"	"FTX Token"
"1:0xBAac2B4491727D78D2b78815144570b9f2Fe8899"	"DOG"
"1:0xE0f63A424a4439cBE457D80E4f4b51aD25b2c56C"	"SPX"
"1:0x1C9922314ED1415c95b9FD453c3818fd41867d0B"	"TOWER"
"1:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"	"USDC"
"1:0x6B3595068778DD592e39A122f4f5a5cF09C90fE2"	"SUSHI"
"1:0xA15C00F9380960AF9b2f3F77c1799261C46fbFD7"	"MAGACAT"
"1:0x8bAF5d75CaE25c7dF6d1E0d26C52d19Ee848301a"	"CATALORIAN"
"1:0x9c7D4Fb43919DEf524C1a9d92FE836169eAF0615"	"Wolf"
"1:0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"	"WETH"
"1:0x69002bbe1e8e09F53374A8DAf0E38dde61d77421"	"DJIA"
"1:0x8FAc8031e079F409135766C7d5De29cf22EF897C"	"HEART"
"1:0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"	"WBTC"
"1:0x7122985656e38BDC0302Db86685bb972b145bD3C"	"STONE"
"1:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"	"WETH"
"1:0xdac17f958d2ee523a2206206994597c13d831ec7"	"USDT"
"1:0x6b175474e89094c44da98b954eedeac495271d0f"	"DAI"
"1:0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b"	"DPI"
"1:0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9"	"AAVE"
"1:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"	"USDC"
"1:0x79D7a360A77b20F9eDA495652Ef500Dbc5a66588"	"FARTCOIN"
"1:0x6B175474E89094C44Da98b954EedeAC495271d0F"	"DAI"
"1:0x64445db504cc4E5A2C08f6D3bDF3a4b73c8b2D86"	"EPEPE"
"1:0xe69CcaAaEa33eBFe5B76E0dD373cD9a1A31fd410"	"PNUT"
"1:0xA4e8C3Ec456107eA67d3075bF9e3DF3A75823DB0"	"LOOM"
"1:0x05Aa4817c17825281474ae2Ee1ca492b89A16Bce"	"POPCAT"
"1:0x4947b72fED037AdE3365dA050A9be5c063E605A7"	"PEANUT"
"1:0x19247618D79E3fc4d4866169789E4B8eEDef52E6"	"CAI"
"1:0x0489A0377FD50bebDad3431CA428c9d34cfB8eB3"	"Bette"
"1:0x85D19fb57CA7DA715695FCf347CA2169144523a7"	"CONAN"
"1:0xaa95f26e30001251fb905d264Aa7b00eE9dF6C18"	"Kendu"
"1:0xF4b7B9ab55A2eeb3bD6123B8f45B0abfFd5089c7"	"SHIB"
"1:0x06F3C323f0238c72BF35011071f2b5B7F43A054c"	"MASQ"
"1:0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b"	"CRO"
"1:0x576e2BeD8F7b46D34016198911Cdf9886f78bea7"	"TRUMP"
"1:0x5dE869E3E62B0FB2c15573246BA3Bb3Fd97a2275"	"SHEB"
"1:0x001823D353A2D71AD744599390cBB2f8240aFda9"	"CHERRY"
"1:0x6b3D8CC084936fD12519169E5B6cB585bCdDdB54"	"PEANUT"
"1:0x7039cd6D7966672F194E8139074C3D5c4e6DCf65"	"STRUMP"
"1:0xD1e64bcc904Cfdc19d0FABA155a9EdC69b4bcdAe"	"PIKA"
"1:0x230EA9AEd5d08AfDb22Cd3c06c47cf24aD501301"	"SPX2.0"
"1:0xF63E309818E4EA13782678CE6C31C1234fa61809"	"JANET"
"1:0x69C791c057BD45A0de50AFf17d03DDd306726d9a"	"TUX"
"1:0xcB84d72e61e383767C4DFEb2d8ff7f4FB89abc6e"	"VEGA"
"1:0x4955f6641bf9C8C163604c321f4B36E988698f75"	"DOGECAST"
"1:0x6982508145454Ce325dDbE47a25d4ec3d2311933"	"PEPE"
"1:0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf"	"cbBTC"
"1:0x618679dF9EfCd19694BB1daa8D00718Eacfa2883"	"XYZ"
"1:0x0f23059A8c0c5Af7656bdd0c4206D09636c6CC75"	"FRED"
"1:0xa0853De57f83D82d84cb91ac937c35B4F014934A"	"PEDO"
"1:0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24"	"RNDR"
"1:0x956F47F50A910163D8BF957Cf5846D573E7f87CA"	"FEI"
"1:0xf99d58e463A2E07e5692127302C20A191861b4D6"	"ANY"
"1:0x4f7d2D728ce137dd01ec63EF7B225805C7b54575"	"WALLY"
"1:0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4"	"ANKR"
"1:0x514910771AF9Ca656af840dff83E8264EcF986CA"	"LINK"
"1:0x44ff8620b8cA30902395A7bD3F2407e1A091BF73"	"VIRTUAL"
"1:0x37d299D9900209c3566254cFE59bFE6fF8F8c295"	"BITCOIN"
"1:0x69000e11c86b4F61dBeFd7DBcffD1C53fCD506e4"	"MSFT"
"1:0x7613C48E0cd50E42dD9Bf0f6c235063145f6f8DC"	"PIRATE"
"1:0x39937289f557e05ABcD28f34AbA548B9d3cecE26"	"CYPHERPUNK"
"1:0x594DaaD7D77592a2b97b725A7AD59D7E188b5bFa"	"APU"
"1:0x7f3141c4D6b047fb930991b450f1eD996a51CB26"	"X"
"1:0x14feE680690900BA0ccCfC76AD70Fd1b95D10e16"	"$PAAL"
"1:0x3b991130eaE3CcA364406D718DA22FA1C3E7C256"	"SHRUB"
"1:0x5da42c37dEa61d1C31E7a810E7d2aFf736A41643"	"YES"
"1:0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39"	"HEX"
"1:0xC5842df170b8C8D09EB851A8D5DB3dfa00669E3F"	"XEROAI"
"1:0x77777FeDdddFfC19Ff86DB637967013e6C6A116C"	"TORN"
"1:0xD101dCC414F310268c37eEb4cD376CcFA507F571"	"RSC"
"1:0x35E66b2497bFffa56aD359ba0e7590fF8c4786b8"	"SHIRO"
"1:0x1f19f83fC9a25F3C861260143E36c17706257986"	"VEST"
"1:0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE"	"SHIB"
"1:0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72"	"ENS"
"1:0x3c1FccA23d7D1BB724693F3Ea08A9D68d565c518"	"DumGai"
"1:0x8578a8716013c390b95db73065922f512783e2Cf"	"VIVEK"
"1:0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e"	"YFI"
"1:0x289Ff00235D2b98b0145ff5D4435d3e92f9540a6"	"BOOE"
"1:0x29611612de3f4269BD4513388Bcd519B94DEB09D"	"ATT"
"1:0x03AA6298F1370642642415EDC0db8b957783e8D6"	"NMT"
"1:0x44017598f2AF1bD733F9D87b5017b4E7c1B28DDE"	"stkATOM"
"1:0x1151CB3d861920e07a38e03eEAd12C32178567F6"	"Bonk"
"1:0x745407c86DF8DB893011912d3aB28e68B62E49B0"	"MAHA"
"1:0x6019Dcb2d0b3E0d1D8B0cE8D16191b3A4f93703d"	"QF"
"1:0xb646c4fE0090Bf6fdbA226D3ccd8f775b30fDbB5"	"CULO"
"1:0xDa2E903b0B67F30BF26bD3464f9EE1a383BbbE5F"	"MAGA"
"1:0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E"	"ILV"
"1:0xF411903cbC70a74d22900a5DE66A2dda66507255"	"VRA"
"1:0xD5cd84D6f044AbE314Ee7E414d37cae8773ef9D3"	"1ONE"
"1:0xba0Dda8762C24dA9487f5FA026a9B64b695A07Ea"	"OX"
"1:0x57B946008913B82E4dF85f501cbAeD910e58D26C"	"POND"
"1:0x2e9d63788249371f1DFC918a52f8d799F4a38C94"	"TOKE"
"1:0x839D4a05d6d23A22365bD90C2114c199D53E674c"	"RXS"
"1:0xAa6E8127831c9DE45ae56bB1b0d4D4Da6e5665BD"	"ETH2x-FLI"
